Model,Layer,Validation Loss,Test Loss,Sparse Ratio
Pruned SAE,5,4.0648,,0.63
Pruned SAE,5,4.3525,,0.61
Pruned SAE,5,4.413,,0.59
Pruned SAE,5,4.6868,,0.57
Pruned SAE,5,4.3737,,0.55
Pruned SAE,5,4.4416,,0.53
Pruned SAE,5,4.1623,,0.51
Pruned SAE,5,4.1168,,0.49
Pruned SAE,5,3.9999,,0.47
Pruned SAE,5,4.1383,,0.45
Pruned SAE,5,4.0971,,0.43
Pruned SAE,5,4.1275,,0.41
Pruned SAE,5,4.0733,,0.39
Pruned SAE,5,3.8252,,0.37
Pruned SAE,5,3.1206,,0.35
Pruned SAE,5,2.6575,,0.33
Pruned SAE,5,2.8898,,0.31
Pruned SAE,5,2.5146,,0.29
Pruned SAE,5,2.1562,,0.27
Pruned SAE,5,2.1179,,0.25
Best sparse ratio pruned SAE,5,1.9141,1.9798,0.99
SAE trained on pruned gpt2-small ,6,1.9896,2.0327,0.0
Pretrained SAE,6,1.7624,1.8062,0.0
Pruned SAE,6,1.8792,,0.99
Pruned SAE,6,1.892,,0.97
Pruned SAE,6,1.8754,,0.95
Pruned SAE,6,1.8738,,0.93
Pruned SAE,6,1.8495,,0.91
Pruned SAE,6,1.8605,,0.89
Pruned SAE,6,1.8595,,0.87
Pruned SAE,6,1.8307,,0.85
Pruned SAE,6,1.8295,,0.83
Pruned SAE,6,1.8312,,0.81
Pruned SAE,6,1.8265,,0.79
Pruned SAE,6,1.8263,,0.77
Pruned SAE,6,1.8325,,0.75
Pruned SAE,6,1.8268,,0.73
Pruned SAE,6,1.8211,,0.71
Pruned SAE,6,1.8294,,0.69
Pruned SAE,6,1.8263,,0.67
Pruned SAE,6,1.8284,,0.65
Pruned SAE,6,1.8297,,0.63
Pruned SAE,6,1.8277,,0.61
Pruned SAE,6,1.8249,,0.59
Pruned SAE,6,1.8192,,0.57
Pruned SAE,6,1.812,,0.55
Pruned SAE,6,1.8092,,0.53
Pruned SAE,6,1.8041,,0.51
Pruned SAE,6,1.8004,,0.49
Pruned SAE,6,1.7877,,0.47
Pruned SAE,6,1.7861,,0.45
Pruned SAE,6,1.786,,0.43
Pruned SAE,6,1.7796,,0.41
Pruned SAE,6,1.7782,,0.39
Pruned SAE,6,1.7717,,0.37
Pruned SAE,6,1.7746,,0.35
Pruned SAE,6,1.7749,,0.33
Pruned SAE,6,1.7686,,0.31
Pruned SAE,6,1.7627,,0.29
Pruned SAE,6,1.7584,,0.27
Pruned SAE,6,1.7582,,0.25
Best sparse ratio pruned SAE,6,1.7582,1.7973,0.25
SAE trained on pruned gpt2-small ,7,2.6344,2.7229,0.0
Pretrained SAE,7,1.734,1.7772,0.0
Pruned SAE,7,1.9619,,0.99
Pruned SAE,7,2.0673,,0.97
Pruned SAE,7,2.1766,,0.95
Pruned SAE,7,2.2557,,0.93
Pruned SAE,7,2.0797,,0.91
Pruned SAE,7,2.2631,,0.89
Pruned SAE,7,2.22,,0.87
Pruned SAE,7,2.0447,,0.85
Pruned SAE,7,2.1799,,0.83
Pruned SAE,7,2.1265,,0.81
Pruned SAE,7,2.144,,0.79
Pruned SAE,7,1.9779,,0.77
Pruned SAE,7,2.002,,0.75
Pruned SAE,7,2.0493,,0.73
Pruned SAE,7,2.0276,,0.71
Pruned SAE,7,2.0755,,0.69
Pruned SAE,7,2.0133,,0.67
Pruned SAE,7,2.3629,,0.65
Pruned SAE,7,2.2385,,0.63
Pruned SAE,7,2.2646,,0.61
Pruned SAE,7,2.3427,,0.59
Pruned SAE,7,2.4357,,0.57
Pruned SAE,7,2.5196,,0.55
Pruned SAE,7,2.4752,,0.53
Pruned SAE,7,2.1861,,0.51
Pruned SAE,7,2.1387,,0.49
Pruned SAE,7,2.1949,,0.47
Pruned SAE,7,2.1702,,0.45
Pruned SAE,7,2.0466,,0.43
Pruned SAE,7,2.1139,,0.41
Pruned SAE,7,1.9782,,0.39
Pruned SAE,7,1.8334,,0.37
Pruned SAE,7,1.8249,,0.35
Pruned SAE,7,1.8287,,0.33
Pruned SAE,7,1.8105,,0.31
Pruned SAE,7,1.813,,0.29
Pruned SAE,7,1.7903,,0.27
Pruned SAE,7,1.7811,,0.25
Best sparse ratio pruned SAE,7,1.7811,1.8264,0.25
SAE trained on pruned gpt2-small ,8,2.1432,2.1987,0.0
Pretrained SAE,8,1.7054,1.7461,0.0
Pruned SAE,8,1.7498,,0.99
Pruned SAE,8,1.7505,,0.97
Pruned SAE,8,1.7503,,0.95
Pruned SAE,8,1.7496,,0.93
Pruned SAE,8,1.7472,,0.91
Pruned SAE,8,1.7454,,0.89
Pruned SAE,8,1.7452,,0.87
Pruned SAE,8,1.7441,,0.85
Pruned SAE,8,1.7383,,0.83
Pruned SAE,8,1.7393,,0.81
Pruned SAE,8,1.7388,,0.79
Pruned SAE,8,1.7318,,0.77
Pruned SAE,8,1.7312,,0.75
Pruned SAE,8,1.7302,,0.73
Pruned SAE,8,1.7305,,0.71
Pruned SAE,8,1.7303,,0.69
Pruned SAE,8,1.7279,,0.67
Pruned SAE,8,1.7268,,0.65
Pruned SAE,8,1.7287,,0.63
Pruned SAE,8,1.7259,,0.61
Pruned SAE,8,1.7281,,0.59
Pruned SAE,8,1.7269,,0.57
Pruned SAE,8,1.7265,,0.55
Pruned SAE,8,1.725,,0.53
Pruned SAE,8,1.7237,,0.51
Pruned SAE,8,1.7222,,0.49
Pruned SAE,8,1.7225,,0.47
Pruned SAE,8,1.7221,,0.45
Pruned SAE,8,1.7206,,0.43
Pruned SAE,8,1.7181,,0.41
Pruned SAE,8,1.7169,,0.39
Pruned SAE,8,1.7159,,0.37
Pruned SAE,8,1.7145,,0.35
Pruned SAE,8,1.7132,,0.33
Pruned SAE,8,1.7116,,0.31
Pruned SAE,8,1.7101,,0.29
Pruned SAE,8,1.7106,,0.27
Pruned SAE,8,1.7091,,0.25
Best sparse ratio pruned SAE,8,1.7091,1.7504,0.25
SAE trained on pruned gpt2-small ,9,2.5974,2.6717,0.0
Pretrained SAE,9,1.7316,1.7761,0.0
Pruned SAE,9,1.9155,,0.99
Pruned SAE,9,1.9158,,0.97
Pruned SAE,9,1.9156,,0.95
Pruned SAE,9,1.9126,,0.93
