Model,Layer,Validation Loss,Test Loss,Sparse Ratio
Pruned SAE,6,2.4832,,0.37
Pruned SAE,6,2.4791,,0.35
Pruned SAE,6,2.4765,,0.33
Pruned SAE,6,2.4748,,0.31
Pruned SAE,6,2.4709,,0.29
Pruned SAE,6,2.4689,,0.27
Pruned SAE,6,2.4673,,0.25
Best sparse ratio pruned SAE,6,2.4673,2.5133,0.25
SAE trained on pruned gpt2-small ,7,3.8322,3.8981,0.0
Pretrained SAE,7,2.4442,2.49,0.0
Pruned SAE,7,2.6316,,0.99
Pruned SAE,7,2.6564,,0.97
Pruned SAE,7,2.7011,,0.95
Pruned SAE,7,2.6614,,0.93
Pruned SAE,7,2.6953,,0.91
Pruned SAE,7,2.7225,,0.89
Pruned SAE,7,2.7014,,0.87
Pruned SAE,7,2.7212,,0.85
Pruned SAE,7,2.6857,,0.83
Pruned SAE,7,2.8413,,0.81
Pruned SAE,7,2.6946,,0.79
Pruned SAE,7,2.6625,,0.77
Pruned SAE,7,2.7427,,0.75
Pruned SAE,7,2.7036,,0.73
Pruned SAE,7,2.8383,,0.71
Pruned SAE,7,2.6864,,0.69
Pruned SAE,7,2.8044,,0.67
Pruned SAE,7,2.8599,,0.65
Pruned SAE,7,2.9166,,0.63
Pruned SAE,7,2.9194,,0.61
Pruned SAE,7,2.9207,,0.59
Pruned SAE,7,3.0088,,0.57
Pruned SAE,7,2.7565,,0.55
Pruned SAE,7,2.7369,,0.53
Pruned SAE,7,2.7578,,0.51
Pruned SAE,7,2.7608,,0.49
Pruned SAE,7,2.8239,,0.47
Pruned SAE,7,2.5528,,0.45
Pruned SAE,7,2.6434,,0.43
Pruned SAE,7,2.7004,,0.41
Pruned SAE,7,2.5196,,0.39
Pruned SAE,7,2.5206,,0.37
Pruned SAE,7,2.5143,,0.35
Pruned SAE,7,2.5263,,0.33
Pruned SAE,7,2.5163,,0.31
Pruned SAE,7,2.5103,,0.29
Pruned SAE,7,2.4925,,0.27
Pruned SAE,7,2.484,,0.25
Best sparse ratio pruned SAE,7,2.484,2.5261,0.25
SAE trained on pruned gpt2-small ,8,3.017,3.0618,0.0
Pretrained SAE,8,2.4159,2.4623,0.0
Pruned SAE,8,2.4513,,0.99
Pruned SAE,8,2.4512,,0.97
Pruned SAE,8,2.4503,,0.95
Pruned SAE,8,2.4499,,0.93
Pruned SAE,8,2.4505,,0.91
Pruned SAE,8,2.4492,,0.89
Pruned SAE,8,2.4491,,0.87
Pruned SAE,8,2.448,,0.85
Pruned SAE,8,2.4465,,0.83
Pruned SAE,8,2.4458,,0.81
Pruned SAE,8,2.4439,,0.79
Pruned SAE,8,2.4434,,0.77
Pruned SAE,8,2.442,,0.75
Pruned SAE,8,2.4408,,0.73
Pruned SAE,8,2.4408,,0.71
Pruned SAE,8,2.4407,,0.69
Pruned SAE,8,2.4405,,0.67
Pruned SAE,8,2.4389,,0.65
Pruned SAE,8,2.4387,,0.63
Pruned SAE,8,2.4379,,0.61
Pruned SAE,8,2.4378,,0.59
Pruned SAE,8,2.4374,,0.57
Pruned SAE,8,2.4354,,0.55
Pruned SAE,8,2.4351,,0.53
Pruned SAE,8,2.4351,,0.51
Pruned SAE,8,2.4334,,0.49
Pruned SAE,8,2.4328,,0.47
Pruned SAE,8,2.4318,,0.45
Pruned SAE,8,2.4303,,0.43
Pruned SAE,8,2.4296,,0.41
Pruned SAE,8,2.4281,,0.39
Pruned SAE,8,2.4269,,0.37
Pruned SAE,8,2.4262,,0.35
Pruned SAE,8,2.4243,,0.33
Pruned SAE,8,2.4237,,0.31
Pruned SAE,8,2.4223,,0.29
Pruned SAE,8,2.4215,,0.27
Pruned SAE,8,2.4201,,0.25
Best sparse ratio pruned SAE,8,2.4201,2.4668,0.25
SAE trained on pruned gpt2-small ,9,3.7542,3.8359,0.0
Pretrained SAE,9,2.4179,2.4643,0.0
Pruned SAE,9,2.5331,,0.99
Pruned SAE,9,2.5332,,0.97
Pruned SAE,9,2.5318,,0.95
Pruned SAE,9,2.5343,,0.93
Pruned SAE,9,2.5319,,0.91
Pruned SAE,9,2.5341,,0.89
Pruned SAE,9,2.5335,,0.87
Pruned SAE,9,2.536,,0.85
Pruned SAE,9,2.5387,,0.83
Pruned SAE,9,2.5439,,0.81
Pruned SAE,9,2.5344,,0.79
Pruned SAE,9,2.5332,,0.77
Pruned SAE,9,2.5342,,0.75
Pruned SAE,9,2.5342,,0.73
Pruned SAE,9,2.537,,0.71
Pruned SAE,9,2.5346,,0.69
Pruned SAE,9,2.5358,,0.67
Pruned SAE,9,2.5315,,0.65
Pruned SAE,9,2.5323,,0.63
Pruned SAE,9,2.5319,,0.61
Pruned SAE,9,2.5317,,0.59
Pruned SAE,9,2.5364,,0.57
Pruned SAE,9,2.5299,,0.55
Pruned SAE,9,2.5384,,0.53
Pruned SAE,9,2.5107,,0.51
Pruned SAE,9,2.4895,,0.49
Pruned SAE,9,2.4697,,0.47
Pruned SAE,9,2.4669,,0.45
Pruned SAE,9,2.4634,,0.43
Pruned SAE,9,2.4522,,0.41
Pruned SAE,9,2.4494,,0.39
Pruned SAE,9,2.4469,,0.37
Pruned SAE,9,2.4473,,0.35
Pruned SAE,9,2.4419,,0.33
Pruned SAE,9,2.4376,,0.31
Pruned SAE,9,2.4341,,0.29
Pruned SAE,9,2.4313,,0.27
Pruned SAE,9,2.4285,,0.25
Best sparse ratio pruned SAE,9,2.4285,2.4739,0.25
SAE trained on pruned gpt2-small ,10,2.4083,2.4557,0.0
Pretrained SAE,10,2.4151,2.4615,0.0
Pruned SAE,10,2.4646,,0.99
Pruned SAE,10,2.4646,,0.97
Pruned SAE,10,2.4644,,0.95
Pruned SAE,10,2.4644,,0.93
Pruned SAE,10,2.4643,,0.91
Pruned SAE,10,2.4644,,0.89
Pruned SAE,10,2.4644,,0.87
Pruned SAE,10,2.4643,,0.85
Pruned SAE,10,2.4662,,0.83
Pruned SAE,10,2.467,,0.81
Pruned SAE,10,2.4656,,0.79
Pruned SAE,10,2.4665,,0.77
Pruned SAE,10,2.4674,,0.75
Pruned SAE,10,2.4702,,0.73
Pruned SAE,10,2.4674,,0.71
