Model,Layer,Validation Loss,Test Loss,Sparse Ratio
Best sparse ratio pruned SAE,5,3.3951,3.5052,0.25
SAE trained on pruned gpt2-small ,6,3.112,3.2143,0.0
Pretrained SAE,6,2.9405,3.033,0.0
Pruned SAE,6,2.9733,,0.99
Pruned SAE,6,2.9729,,0.97
Pruned SAE,6,2.9743,,0.95
Pruned SAE,6,2.9739,,0.93
Pruned SAE,6,2.9734,,0.91
Pruned SAE,6,2.9726,,0.89
Pruned SAE,6,2.9717,,0.87
Pruned SAE,6,2.9709,,0.85
Pruned SAE,6,2.971,,0.83
Pruned SAE,6,2.9703,,0.81
Pruned SAE,6,2.9703,,0.79
Pruned SAE,6,2.9697,,0.77
Pruned SAE,6,2.9695,,0.75
Pruned SAE,6,2.9695,,0.73
Pruned SAE,6,2.9697,,0.71
Pruned SAE,6,2.9689,,0.69
Pruned SAE,6,2.9695,,0.67
Pruned SAE,6,2.968,,0.65
Pruned SAE,6,2.9675,,0.63
Pruned SAE,6,2.9674,,0.61
Pruned SAE,6,2.9666,,0.59
Pruned SAE,6,2.9674,,0.57
Pruned SAE,6,2.9664,,0.55
Pruned SAE,6,2.9642,,0.53
Pruned SAE,6,2.9634,,0.51
Pruned SAE,6,2.9619,,0.49
Pruned SAE,6,2.9611,,0.47
Pruned SAE,6,2.9593,,0.45
Pruned SAE,6,2.9576,,0.43
Pruned SAE,6,2.9556,,0.41
Pruned SAE,6,2.9542,,0.39
Pruned SAE,6,2.9528,,0.37
Pruned SAE,6,2.9502,,0.35
Pruned SAE,6,2.9497,,0.33
Pruned SAE,6,2.948,,0.31
Pruned SAE,6,2.9474,,0.29
Pruned SAE,6,2.9456,,0.27
Pruned SAE,6,2.9441,,0.25
Best sparse ratio pruned SAE,6,2.9441,3.0369,0.25
SAE trained on pruned gpt2-small ,7,5.0011,5.1628,0.0
Pretrained SAE,7,2.9354,3.0306,0.0
Pruned SAE,7,2.9951,,0.99
Pruned SAE,7,3.0863,,0.97
Pruned SAE,7,3.0393,,0.95
Pruned SAE,7,2.9895,,0.93
Pruned SAE,7,3.2911,,0.91
Pruned SAE,7,3.1179,,0.89
Pruned SAE,7,3.4305,,0.87
Pruned SAE,7,3.2798,,0.85
Pruned SAE,7,3.2652,,0.83
Pruned SAE,7,3.2191,,0.81
Pruned SAE,7,3.2271,,0.79
Pruned SAE,7,3.2895,,0.77
Pruned SAE,7,3.243,,0.75
Pruned SAE,7,3.2102,,0.73
Pruned SAE,7,3.3056,,0.71
Pruned SAE,7,3.2199,,0.69
Pruned SAE,7,3.2032,,0.67
Pruned SAE,7,3.299,,0.65
Pruned SAE,7,3.2586,,0.63
Pruned SAE,7,3.1739,,0.61
Pruned SAE,7,3.1784,,0.59
Pruned SAE,7,3.1732,,0.57
Pruned SAE,7,3.2466,,0.55
Pruned SAE,7,3.0934,,0.53
Pruned SAE,7,3.1778,,0.51
Pruned SAE,7,3.215,,0.49
Pruned SAE,7,3.1345,,0.47
Pruned SAE,7,3.1429,,0.45
Pruned SAE,7,3.2373,,0.43
Pruned SAE,7,3.0932,,0.41
Pruned SAE,7,3.0173,,0.39
Pruned SAE,7,3.0042,,0.37
Pruned SAE,7,2.9964,,0.35
Pruned SAE,7,2.9866,,0.33
Pruned SAE,7,2.9697,,0.31
Pruned SAE,7,2.9627,,0.29
Pruned SAE,7,2.9595,,0.27
Pruned SAE,7,2.9553,,0.25
Best sparse ratio pruned SAE,7,2.9553,3.0496,0.25
SAE trained on pruned gpt2-small ,8,3.6064,3.7118,0.0
Pretrained SAE,8,2.935,3.0325,0.0
Pruned SAE,8,2.9609,,0.99
Pruned SAE,8,2.9609,,0.97
Pruned SAE,8,2.9608,,0.95
Pruned SAE,8,2.9606,,0.93
Pruned SAE,8,2.9605,,0.91
Pruned SAE,8,2.9603,,0.89
Pruned SAE,8,2.9601,,0.87
Pruned SAE,8,2.9599,,0.85
Pruned SAE,8,2.9597,,0.83
Pruned SAE,8,2.9594,,0.81
Pruned SAE,8,2.9592,,0.79
Pruned SAE,8,2.959,,0.77
Pruned SAE,8,2.9586,,0.75
Pruned SAE,8,2.9584,,0.73
Pruned SAE,8,2.958,,0.71
Pruned SAE,8,2.9576,,0.69
Pruned SAE,8,2.9573,,0.67
Pruned SAE,8,2.9567,,0.65
Pruned SAE,8,2.9562,,0.63
Pruned SAE,8,2.9559,,0.61
Pruned SAE,8,2.9554,,0.59
Pruned SAE,8,2.9549,,0.57
Pruned SAE,8,2.9541,,0.55
Pruned SAE,8,2.9536,,0.53
Pruned SAE,8,2.953,,0.51
Pruned SAE,8,2.9521,,0.49
Pruned SAE,8,2.9515,,0.47
Pruned SAE,8,2.9505,,0.45
Pruned SAE,8,2.9495,,0.43
Pruned SAE,8,2.9484,,0.41
Pruned SAE,8,2.9474,,0.39
Pruned SAE,8,2.946,,0.37
Pruned SAE,8,2.9449,,0.35
Pruned SAE,8,2.9439,,0.33
Pruned SAE,8,2.9426,,0.31
Pruned SAE,8,2.9417,,0.29
Pruned SAE,8,2.94,,0.27
Pruned SAE,8,2.9392,,0.25
Best sparse ratio pruned SAE,8,2.9392,3.0372,0.25
SAE trained on pruned gpt2-small ,9,4.0182,4.1562,0.0
Pretrained SAE,9,2.9337,3.0302,0.0
Pruned SAE,9,2.9628,,0.99
Pruned SAE,9,2.9628,,0.97
Pruned SAE,9,2.9624,,0.95
Pruned SAE,9,2.9628,,0.93
Pruned SAE,9,2.9627,,0.91
Pruned SAE,9,2.9627,,0.89
Pruned SAE,9,2.9626,,0.87
Pruned SAE,9,2.9626,,0.85
Pruned SAE,9,2.9626,,0.83
Pruned SAE,9,2.9626,,0.81
Pruned SAE,9,2.9624,,0.79
Pruned SAE,9,2.9625,,0.77
Pruned SAE,9,2.9625,,0.75
Pruned SAE,9,2.9621,,0.73
Pruned SAE,9,2.962,,0.71
Pruned SAE,9,2.9627,,0.69
Pruned SAE,9,2.9624,,0.67
Pruned SAE,9,2.9621,,0.65
Pruned SAE,9,2.9617,,0.63
