Model,Layer,Validation Loss,Test Loss,Sparse Ratio
Pruned SAE,8,1.7146,,0.71
Pruned SAE,8,1.7144,,0.69
Pruned SAE,8,1.714,,0.67
Pruned SAE,8,1.7137,,0.65
Pruned SAE,8,1.7133,,0.63
Pruned SAE,8,1.713,,0.61
Pruned SAE,8,1.7126,,0.59
Pruned SAE,8,1.7119,,0.57
Pruned SAE,8,1.7115,,0.55
Pruned SAE,8,1.7113,,0.53
Pruned SAE,8,1.711,,0.51
Pruned SAE,8,1.7103,,0.49
Pruned SAE,8,1.7097,,0.47
Pruned SAE,8,1.7092,,0.45
Pruned SAE,8,1.7084,,0.43
Pruned SAE,8,1.7078,,0.41
Pruned SAE,8,1.7076,,0.39
Pruned SAE,8,1.7068,,0.37
Pruned SAE,8,1.7062,,0.35
Pruned SAE,8,1.7057,,0.33
Pruned SAE,8,1.7053,,0.31
Pruned SAE,8,1.7045,,0.29
Pruned SAE,8,1.7044,,0.27
Pruned SAE,8,1.7041,,0.25
Best sparse ratio pruned SAE,8,1.7041,1.6765,0.25
SAE trained on pruned gpt2-small ,9,2.4269,2.4151,0.0
Pretrained SAE,9,1.7082,1.6775,0.0
Pruned SAE,9,1.7526,,0.99
Pruned SAE,9,1.7527,,0.97
Pruned SAE,9,1.7525,,0.95
Pruned SAE,9,1.7525,,0.93
Pruned SAE,9,1.7531,,0.91
Pruned SAE,9,1.7532,,0.89
Pruned SAE,9,1.7523,,0.87
Pruned SAE,9,1.7531,,0.85
Pruned SAE,9,1.7518,,0.83
Pruned SAE,9,1.7523,,0.81
Pruned SAE,9,1.7514,,0.79
Pruned SAE,9,1.7525,,0.77
Pruned SAE,9,1.7525,,0.75
Pruned SAE,9,1.7525,,0.73
Pruned SAE,9,1.7523,,0.71
Pruned SAE,9,1.7517,,0.69
Pruned SAE,9,1.7524,,0.67
Pruned SAE,9,1.7516,,0.65
Pruned SAE,9,1.7514,,0.63
Pruned SAE,9,1.7517,,0.61
Pruned SAE,9,1.7493,,0.59
Pruned SAE,9,1.7502,,0.57
Pruned SAE,9,1.7568,,0.55
Pruned SAE,9,1.7602,,0.53
Pruned SAE,9,1.7535,,0.51
Pruned SAE,9,1.7396,,0.49
Pruned SAE,9,1.7309,,0.47
Pruned SAE,9,1.7298,,0.45
Pruned SAE,9,1.7264,,0.43
Pruned SAE,9,1.7257,,0.41
Pruned SAE,9,1.7249,,0.39
Pruned SAE,9,1.7236,,0.37
Pruned SAE,9,1.7231,,0.35
Pruned SAE,9,1.7212,,0.33
Pruned SAE,9,1.7188,,0.31
Pruned SAE,9,1.7179,,0.29
Pruned SAE,9,1.7157,,0.27
Pruned SAE,9,1.7142,,0.25
Best sparse ratio pruned SAE,9,1.7142,1.6824,0.25
SAE trained on pruned gpt2-small ,10,1.7118,1.6841,0.0
Pretrained SAE,10,1.7017,1.6707,0.0
Pruned SAE,10,1.7277,,0.99
Pruned SAE,10,1.7278,,0.97
Pruned SAE,10,1.7279,,0.95
Pruned SAE,10,1.7281,,0.93
Pruned SAE,10,1.7281,,0.91
Pruned SAE,10,1.7281,,0.89
Pruned SAE,10,1.7281,,0.87
Pruned SAE,10,1.728,,0.85
Pruned SAE,10,1.7279,,0.83
Pruned SAE,10,1.7281,,0.81
Pruned SAE,10,1.7279,,0.79
Pruned SAE,10,1.7279,,0.77
Pruned SAE,10,1.7278,,0.75
Pruned SAE,10,1.7277,,0.73
Pruned SAE,10,1.7276,,0.71
Pruned SAE,10,1.7273,,0.69
Pruned SAE,10,1.7276,,0.67
Pruned SAE,10,1.7272,,0.65
Pruned SAE,10,1.7273,,0.63
Pruned SAE,10,1.7273,,0.61
Pruned SAE,10,1.7271,,0.59
Pruned SAE,10,1.7268,,0.57
Pruned SAE,10,1.7267,,0.55
Pruned SAE,10,1.7259,,0.53
Pruned SAE,10,1.7248,,0.51
Pruned SAE,10,1.7245,,0.49
Pruned SAE,10,1.7242,,0.47
Pruned SAE,10,1.7239,,0.45
Pruned SAE,10,1.7225,,0.43
Pruned SAE,10,1.722,,0.41
Pruned SAE,10,1.7199,,0.39
Pruned SAE,10,1.7187,,0.37
Pruned SAE,10,1.7179,,0.35
Pruned SAE,10,1.7153,,0.33
Pruned SAE,10,1.7146,,0.31
Pruned SAE,10,1.7128,,0.29
Pruned SAE,10,1.7113,,0.27
Pruned SAE,10,1.7096,,0.25
Best sparse ratio pruned SAE,10,1.7096,1.6781,0.25
SAE trained on pruned gpt2-small ,11,1.6968,1.6687,0.0
Pretrained SAE,11,1.7229,1.6933,0.0
Pruned SAE,11,1.7337,,0.99
Pruned SAE,11,1.7359,,0.97
Pruned SAE,11,1.7344,,0.95
Pruned SAE,11,1.7353,,0.93
Pruned SAE,11,1.7352,,0.91
Pruned SAE,11,1.736,,0.89
Pruned SAE,11,1.7361,,0.87
Pruned SAE,11,1.7366,,0.85
Pruned SAE,11,1.7371,,0.83
Pruned SAE,11,1.7361,,0.81
Pruned SAE,11,1.7373,,0.79
Pruned SAE,11,1.7375,,0.77
Pruned SAE,11,1.7382,,0.75
Pruned SAE,11,1.7375,,0.73
Pruned SAE,11,1.7364,,0.71
Pruned SAE,11,1.738,,0.69
Pruned SAE,11,1.7384,,0.67
Pruned SAE,11,1.7387,,0.65
Pruned SAE,11,1.7388,,0.63
Pruned SAE,11,1.7397,,0.61
Pruned SAE,11,1.7402,,0.59
Pruned SAE,11,1.7396,,0.57
Pruned SAE,11,1.7385,,0.55
Pruned SAE,11,1.7385,,0.53
Pruned SAE,11,1.7379,,0.51
Pruned SAE,11,1.7376,,0.49
Pruned SAE,11,1.7367,,0.47
Pruned SAE,11,1.7395,,0.45
Pruned SAE,11,1.7381,,0.43
Pruned SAE,11,1.7381,,0.41
Pruned SAE,11,1.7397,,0.39
Pruned SAE,11,1.7382,,0.37
Pruned SAE,11,1.7445,,0.35
Pruned SAE,11,1.7344,,0.33
Pruned SAE,11,1.737,,0.31
Pruned SAE,11,1.7329,,0.29
Pruned SAE,11,1.7335,,0.27
Pruned SAE,11,1.7332,,0.25
Best sparse ratio pruned SAE,11,1.7329,1.7011,0.29
